Sr_No,Pokemon,Type,Evolution_Method,Species,Generation,Alternative_Forms,Which_AF,AF_Type,Branched_Evo,Branched_Evo_Type,Other_Mechanics,Mechanics_Types,Height (m),Weight (kg),BMI,HP,Attack,Defence,Special_Attack,Special_Defence,Speed,Total,Ability,Special_Ability,Ability_AF,Special_Ability_AF,Height (m)_AF,Weight (kg)_AF,BMI_AF,HP_AF,Attack_AF,Defence_AF,Special_Attack_AF,Special_Defence_AF,Speed_AF,Total_AF
70,Bellsprout,Grass / Poison,"Weepinbell, Victreebel, Mega Evo",Flower,1,NA,NA,NA,NA,NA,Mega-Evolution,Grass / Poison,0.7,4,8.163265306,50,75,35,70,30,40,300,Chlorophyll,Gluttony,NA,NA,0,0,0,0,0,0,0,0,0,0
71,Weepinbell,Grass / Poison,"Bellsprout, Victreebel, Mega Evo",Flycatcher,1,NA,NA,NA,NA,NA,Mega-Evolution,Grass / Poison,1,6.4,6.4,65,90,50,85,45,55,390,Chlorophyll,Gluttony,NA,NA,0,0,0,0,0,0,0,0,0,0
72,Victreebel,Grass / Poison,"Bellsprout, Weepinbell, Mega Evo",Flycatcher,1,NA,NA,NA,NP,NP,Mega-Evolution,Grass / Poison,1.7,15.5,5.363321799,80,105,65,100,70,70,490,Chlorophyll,Gluttony,NA,NA,0,0,0,0,0,0,0,0,0,0
73,Tentacool,Water / Poison,Tentacruel,Jellyfish,1,NA,NA,NA,NA,NA,NA,NA,0.9,45.5,56.17283951,40,40,35,50,100,70,335,"Clear Body, Liquid Ooze",Rain Dish,NA,NA,0,0,0,0,0,0,0,0,0,0
74,Tentacruel,Water / Poison,Tentacool,Jellyfish,1,NA,NA,NA,NP,NP,NA,NA,1.6,55,21.484375,80,70,65,80,120,100,515,"Clear Body, Liquid Ooze",Rain Dish,NA,NA,0,0,0,0,0,0,0,0,0,0
75,Geodude,Rock / Ground,"Graveler, Golem",Rock,1,Yes,Alolan,Rock / Electric,NA,NA,NA,NA,0.4,20,125,40,80,100,30,30,20,300,"Rock Head, Sturdy",Sand Veil,"Magnet Pull, Sturdy",Galvanize,0.4,20.3,126.875,40,80,100,30,30,20,300
76,Graveler,Rock / Ground,"Geodude, Golem",Rock,1,Yes,Alolan,Rock / Electric,NA,NA,NA,NA,1,105,105,55,95,115,45,45,35,390,"Rock Head, Sturdy",Sand Veil,"Magnet Pull, Sturdy",Galvanize,1,110,110,55,95,115,45,45,35,390
77,Golem,Rock / Ground,"Geodude, Graveler",Megaton,1,Yes,Alolan,Rock / Electric,NP,NP,NA,NA,1.4,300,153.0612245,80,120,130,55,65,45,495,"Rock Head, Sturdy",Sand Veil,"Magnet Pull, Sturdy",Galvanize,1.7,316,109.3425606,80,120,130,55,65,45,495
78,Ponyta,Fire,Rapidash,Fire Horse,1,Yes,Galarian,Psychic,NA,NA,NA,NA,1,30,30,50,85,55,65,65,90,410,"Run Away, Flash Fire",Flame Body,"Run Away, Pastel Veil",Anticipation,0.8,24,37.5,50,85,55,65,65,90,410
79,Rapidash,Fire,Ponyta,Fire Horse,1,Yes,Galarian,Psychic / Fairy,NP,NP,NA,NA,1.7,95,32.87197232,65,100,70,80,80,105,500,"Run Away, Flash Fire",Flame Body,"Run Away, Pastel Veil",Anticipation,1.7,80,27.6816609,65,100,70,80,80,105,500
80,Slowpoke,Water / Psychic,"Slowbro, Slowking, Mega Evo, Mega Evo",Dopey,1,Yes,Galarian,Psychic,Slowking,Water / Psychic,Mega-Evolution,Water / Psychic,1.2,36,25,90,65,65,40,40,15,315,"Oblivious, Own Tempo",Regenerator,"Gluttony, Own Tempo",Regenerator,1.2,36,25,90,65,65,40,40,15,315
81,Slowbro,Water / Psychic,"Slowpoke, Slowking, Mega Evo, Mega Evo",Hermit Crab,1,Yes,Galarian,Poison / Psychic,Galarian Slowking,Poison / Psychic,Mega-Evolution,Water / Psychic,1.6,78.5,30.6640625,95,75,110,100,80,30,490,"Oblivious, Own Tempo",Regenerator,"Quick Draw, Own Tempo",Regenerator,1.6,70.5,27.5390625,95,100,95,100,70,30,490
82,Magnemite,Electric / Steel,"Magneton, Magnezone",Magnet,1,NA,NA,NA,NA,NA,NA,NA,0.3,6,66.66666667,25,35,70,95,55,45,325,"Magnet Pull, Sturdy",Analytic,NA,NA,0,0,0,0,0,0,0,0,0,0
83,Magneton,Electric / Steel,"Magnemite, Magnezone",Magnet,1,Yes,Paradox - Sandy Shocks (Ancient),Electric / Ground,NA,NA,NA,NA,1,60,60,50,60,95,120,70,70,465,"Magnet Pull, Sturdy",Analytic,NA,NA,0,0,0,0,0,0,0,0,0,0
84,Farfetch'd,Normal / Flying,NA,Wild Duck,1,Yes,Galarian,Fighting,Sirfetch'd,Fighting,NA,NA,0.8,15,23.4375,52,90,55,58,62,60,377,"Keen Eye, Inner Focus",Defiant,Steadfast,Scrappy,0.8,42,65.625,52,95,55,58,62,55,377
85,Doduo,Normal / Flying,Dodrio,Twin Bird,1,NA,NA,NA,NA,NA,NA,NA,1.4,39.2,20,35,85,45,35,35,75,310,"Run Away, Early Bird",Tangled Feet,NA,NA,0,0,0,0,0,0,0,0,0,0
86,Dodrio,Normal / Flying,Doduo,Triple Bird,1,NA,NA,NA,NP,NP,NA,NA,1.8,85.2,26.2962963,60,110,70,60,60,110,470,"Run Away, Early Bird",Tangled Feet,NA,NA,0,0,0,0,0,0,0,0,0,0
87,Seel,Water,Dewgong,Sea Lion,1,NA,NA,NA,NA,NA,NA,NA,1.1,90,74.38016529,65,45,55,45,70,45,325,"Thick Fat, Hydration",Ice Body,NA,NA,0,0,0,0,0,0,0,0,0,0
88,Dewgong,Water / Ice,Seel,Sea Lion,1,NA,NA,NA,NP,NP,NA,NA,1.7,120,41.52249135,90,70,80,70,95,70,475,"Thick Fat, Hydration",Ice Body,NA,NA,0,0,0,0,0,0,0,0,0,0
89,Grimer,Poison,Muk,Sludge,1,Yes,Alolan,Poison / Dark,NA,NA,NA,NA,0.9,30,37.03703704,80,80,50,40,50,25,325,"Stench, Sticky Hold",Poison Touch,"Poison Touch, Gluttony",Power of Alchemy,0.7,42,85.71428571,80,80,50,40,50,25,325
90,Muk,Poison,Grimer,Sludge,1,Yes,Alolan,Poison / Dark,NP,NP,NA,NA,1.2,30,20.83333333,105,105,75,65,100,50,500,"Stench, Sticky Hold",Poison Touch,"Poison Touch, Gluttony",Power of Alchemy,1,52,52,105,105,75,65,100,50,500
91,Shellder,Water,Cloyster,Bivalve,1,NA,NA,NA,NA,NA,NA,NA,0.3,40,444.4444444,30,65,100,45,25,40,305,"Shell Armor, Skill Link",Overcoat,NA,NA,0,0,0,0,0,0,0,0,0,0
92,Cloyster,Water / Ice,Shellder,Bivalve,1,NA,NA,NA,NP,NP,NA,NA,1.5,132.5,58.88888889,50,95,180,85,45,70,525,"Shell Armor, Skill Link",Overcoat,NA,NA,0,0,0,0,0,0,0,0,0,0
93,Gastly,Ghost / Poison,"Haunter, Gengar, Mega Evo",Gas,1,NA,NA,NA,NA,NA,"Mega-Evolution, Gigantimax",Ghost / Poison,1.3,0.1,0.059171598,30,35,30,100,35,80,310,Levitate,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
94,Haunter,Ghost / Poison,"Gastly, Gengar, Mega Evo",Gas,1,NA,NA,NA,NA,NA,"Mega-Evolution, Gigantimax",Ghost / Poison,1.6,0.1,0.0390625,45,50,45,115,55,95,405,Levitate,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
95,Gengar,Ghost / Poison,"Gastly, Haunter, Mega Evo",Shadow,1,NA,NA,NA,NP,NP,"Mega-Evolution, Gigantimax",Ghost / Poison,1.5,40.5,18,60,65,60,130,75,110,500,Cursed Body,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
96,Onix,Rock / Ground,"Steelix, Mega Evo",Rock Snake,1,NA,NA,NA,NA,NA,Mega-Evolution,Steel / Ground,8.8,210,2.71177686,35,45,160,30,45,70,385,"Rock Head, Sturdy",Weak Armor,NA,NA,0,0,0,0,0,0,0,0,0,0
97,Drowzy,Psychic,Hypno,Hypnosis,1,NA,NA,NA,NA,NA,NA,NA,1,32.4,32.4,60,48,45,43,90,42,328,"Insomnia, Forewarn",Inner Focus,NA,NA,0,0,0,0,0,0,0,0,0,0
98,Hypno,Psychic,Drowzy,Hypnosis,1,NA,NA,NA,NP,NP,NA,NA,1.6,75.6,29.53125,85,73,70,73,115,67,483,"Insomnia, Forewarn",Inner Focus,NA,NA,0,0,0,0,0,0,0,0,0,0
